text,label
سلام، طبق درخواستتان رمز عبور حساب کاربری‌تان در موسسه آموزشی مهرگان بازنشانی شد. برای تنظیم رمز جدید: webinar-example.com/reset-password/76454 این لینک تا ۲۴ ساعت آینده معتبر است.,ham
دعوت به همکاری در فروش محصولات آرایشی با سود بالا و بدون سرمایه، فقط ثبت‌نام تلفنی. جهت هماهنگی با شماره 0909952696 تماس بگیرید.,spam
وام فوری بدون ضامن و بدون چک تا سقف 50 میلیون تومان، واریز در همان روز. جهت ثبت درخواست با شماره 0991602286 تماس بگیرید، شرایط ویژه فقط تا پایان ماه.,spam
سلام آقای/خانم صادقی، بلیط پرواز اصفهان به تبریز صادر شد. فایل بلیط از لینک زیر قابل دانلود است: webinar-example.com/eticket/50695 پرواز یکشنبه ساعت ۲ بعدازظهر، لطفاً دو ساعت زودتر فرودگاه باشید.,ham
سلام دوستان، لینک ورود به کلاس آنلاین پنجشنبه ساعت ۹ صبح از طریق گوگل‌میت اینجاست: meet.google.com/abc-defg-hij لطفاً چند دقیقه زودتر وصل شوید. با احترام، استاد رحیمی,ham
فرصت عضویت در تیم معامله‌گری ارز دیجیتال با سود روزانه تضمینی. جهت دریافت اطلاعات بیشتر همین حالا با شماره 0902932227 تماس بگیرید، ظرفیت محدود است.,spam
همسر شما در یک شرایط اضطراری قرار گرفته و نیاز فوری به وجه نقد دارد. جهت اطلاعات بیشتر و کمک فوری با شماره 0992661307 تماس بگیرید.,spam
حساب کاربری بانکی شما به‌دلیل ورود مشکوک موقتاً مسدود شده است. برای رفع مسدودی و تایید هویت با پشتیبانی امنیتی به شماره 0936952975 تماس بگیرید و کد پشت کارت را اعلام کنید.,spam
اطلاعیه فوری، بسته پستی شما به‌دلیل عدم پرداخت عوارض گمرکی در انبار متوقف شده است. جهت آزادسازی مرسوله همین امروز با شماره 0907328534 تماس بگیرید.,spam
سلام شیرین جان، جلسه‌ی دوشنبه ساعت ۶ عصر تایید شد. لینک اتاق مجازی: webinar-example.com/room-74000 اگر امکان حضور نداشتی از قبل بگو.,ham
تبریک، شماره تلفن شما در قرعه‌کشی بزرگ برنده یک سفر خارجی شده است. جهت دریافت جایزه با شماره 0937784725 تماس حاصل فرمایید. مهلت پیگیری تا پایان هفته است.,spam
باسلام، رزرو میز شما در رستوران سنتی دربند برای سه‌شنبه ساعت ۹ صبح با موفقیت ثبت شد. جزئیات و امکان لغو از این لینک: university.ac.ir/booking/41306 منتظر حضورتان هستیم.,ham
مشتری گرامی، فاکتور خرید شما به مبلغ 20000 هزار تومان از آژانس هواپیمایی پرشین‌تور صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: shop-example.ir/invoices/90192 با تشکر از خرید شما.,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0991615675 تماس بگیرید، ظرفیت محدود است.,spam
سلام، جلسه‌ی دفاع پایان‌نامه‌ی پریسا نوری در دانشگاه بهشتی برای چهارشنبه ساعت ۱۱ صبح تایید شد. لینک اتاق مجازی برای اعضای غایب: post-example.com/vc/room-95276 موفق باشید.,ham
مشتری گرامی، فاکتور خرید شما به مبلغ 5000 هزار تومان از فروشگاه اینترنتی کالای من صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: example.com/invoices/48052 با تشکر از خرید شما.,ham
سلام دوستان، لینک ورود به کلاس آنلاین دوشنبه ساعت ۸ شب از طریق گوگل‌میت اینجاست: meet.google.com/klm-nopq-rst لطفاً چند دقیقه زودتر وصل شوید. با احترام، استاد رحیمی,ham
مشترک گرامی، شماره‌ی 171 خبرنامه‌ی کتاب و ادبیات منتشر شد. برای مطالعه‌ی کامل: shop-example.ir/issue-62993 لغو اشتراک هر زمان از پایین همین ایمیل امکان‌پذیر است.,ham
با سلام، پیرو ثبت‌نام شما در دانشگاه علامه، لینک دسترسی به پنل کاربری فعال شد: post-example.com/dashboard/86717 در صورت بروز مشکل با پشتیبانی تماس بگیرید.,ham
باسلام، رزرو میز شما در کافه نادری برای دوشنبه ساعت ۸ شب با موفقیت ثبت شد. جزئیات و امکان لغو از این لینک: shop-example.ir/booking/4101 منتظر حضورتان هستیم.,ham
مشتری گرامی، فاکتور خرید شما به مبلغ 2000 هزار تومان از آژانس هواپیمایی پرشین‌تور صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: example.com/invoices/15029 با تشکر از خرید شما.,ham
اطلاعیه فوری، بسته پستی شما به‌دلیل عدم پرداخت عوارض گمرکی در انبار متوقف شده است. جهت آزادسازی مرسوله همین امروز با شماره 0907392547 تماس بگیرید.,spam
با سلام، پیرو ثبت‌نام شما در دانشگاه علامه، لینک دسترسی به پنل کاربری فعال شد: example.com/dashboard/7572 در صورت بروز مشکل با پشتیبانی تماس بگیرید.,ham
با سلام، پیرو ثبت‌نام شما در دانشگاه امیرکبیر، لینک دسترسی به پنل کاربری فعال شد: shop-example.ir/dashboard/36697 در صورت بروز مشکل با پشتیبانی تماس بگیرید.,ham
مشترک گرامی، شماره‌ی 110 خبرنامه‌ی فناوری منتشر شد. برای مطالعه‌ی کامل: hr-example.com/issue-16713 لغو اشتراک هر زمان از پایین همین ایمیل امکان‌پذیر است.,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0996702160 تماس بگیرید، ظرفیت محدود است.,spam
همکاری در طرح بازاریابی هرمی با سود تضمینی ماهانه، بدون نیاز به سرمایه اولیه بالا. برای شرکت در جلسه توجیهی رایگان با شماره 0907970771 تماس حاصل فرمایید.,spam
سلام فاطمه جان، صورت‌جلسه رو توی درایو گذاشتم: drive.google.com/file/d/254511 اگه سوالی داشتی بگو باهم نگاه بندازیم.,ham
حساب کاربری بانکی شما به‌دلیل ورود مشکوک موقتاً مسدود شده است. برای رفع مسدودی و تایید هویت با پشتیبانی امنیتی به شماره 02129413516 تماس بگیرید و کد پشت کارت را اعلام کنید.,spam
برادر شما در یک شرایط اضطراری قرار گرفته و نیاز فوری به وجه نقد دارد. جهت اطلاعات بیشتر و کمک فوری با شماره 0999031491 تماس بگیرید.,spam
مشتری گرامی، فاکتور خرید شما به مبلغ 800 هزار تومان از بیمه ایران صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: webinar-example.com/invoices/40529 با تشکر از خرید شما.,ham
حساب کاربری بانکی شما به‌دلیل ورود مشکوک موقتاً مسدود شده است. برای رفع مسدودی و تایید هویت با پشتیبانی امنیتی به شماره 0904165061 تماس بگیرید و کد پشت کارت را اعلام کنید.,spam
با احترام، مرسوله‌ی پستی شما به مقصد رسیده و آماده‌ی تحویل است. وضعیت و کد رهگیری: university.ac.ir/track/87951,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0917216461 تماس بگیرید، ظرفیت محدود است.,spam
استخدام فوری، درآمد روزانه تضمینی 1500 هزار تومان، بدون نیاز به مدرک و سابقه کار. جهت هماهنگی مصاحبه با شماره 0937138070 تماس بگیرید.,spam
سلام، دعوت‌نامه‌ی وبینار «بازاریابی دیجیتال» برای شنبه هفته‌ی آینده ارسال شد. ثبت‌نام رایگان از لینک زیر: post-example.com/register/57959 این جلسه ضبط هم می‌شود.,ham
سلام دوستان، لینک ورود به کلاس آنلاین یکشنبه ساعت ۸ شب از طریق گوگل‌میت اینجاست: meet.google.com/klm-nopq-rst لطفاً چند دقیقه زودتر وصل شوید. با احترام، استاد محمدی,ham
طبق بررسی سیستم مالیاتی، پرونده شما دارای بدهی معوق به مبلغ 1200 هزار تومان است. جهت جلوگیری از مسدود شدن حساب بانکی همین امروز با شماره 02120075036 تماس بگیرید.,spam
سلام آقای/خانم کریمی، بلیط پرواز شیراز به اهواز صادر شد. فایل بلیط از لینک زیر قابل دانلود است: post-example.com/eticket/33953 پرواز چهارشنبه ساعت ۲ بعدازظهر، لطفاً دو ساعت زودتر فرودگاه باشید.,ham
وام فوری بدون ضامن و بدون چک تا سقف 30 میلیون تومان، واریز در همان روز. جهت ثبت درخواست با شماره 02178214937 تماس بگیرید، شرایط ویژه فقط تا پایان ماه.,spam
سلام رضا جان، پیش‌نویس قرارداد رو توی درایو گذاشتم: drive.google.com/file/d/163918 اگه سوالی داشتی بگو باهم نگاه بندازیم.,ham
سلام بابک جان، جلسه‌ی دوشنبه ساعت ۱۰ صبح تایید شد. لینک اتاق مجازی: shop-example.ir/room-45118 اگر امکان حضور نداشتی از قبل بگو.,ham
برادر شما در یک شرایط اضطراری قرار گرفته و نیاز فوری به وجه نقد دارد. جهت اطلاعات بیشتر و کمک فوری با شماره 0915163953 تماس بگیرید.,spam
فرصت عضویت در تیم معامله‌گری ارز دیجیتال با سود روزانه تضمینی. جهت دریافت اطلاعات بیشتر همین حالا با شماره 02180415568 تماس بگیرید، ظرفیت محدود است.,spam
مشتری گرامی، فاکتور خرید شما به مبلغ 20000 هزار تومان از بانک ملت صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: post-example.com/invoices/80818 با تشکر از خرید شما.,ham
سلام، دعوت‌نامه‌ی وبینار «طراحی رابط کاربری» برای سه‌شنبه هفته‌ی آینده ارسال شد. ثبت‌نام رایگان از لینک زیر: post-example.com/register/53350 این جلسه ضبط هم می‌شود.,ham
اطلاعیه فوری، بسته پستی شما به‌دلیل عدم پرداخت عوارض گمرکی در انبار متوقف شده است. جهت آزادسازی مرسوله همین امروز با شماره 0908225725 تماس بگیرید.,spam
سلام، طبق درخواستتان رمز عبور حساب کاربری‌تان در بانک ملت بازنشانی شد. برای تنظیم رمز جدید: hr-example.com/reset-password/92303 این لینک تا ۲۴ ساعت آینده معتبر است.,ham
تبریک، شماره تلفن شما در قرعه‌کشی بزرگ برنده یک گوشی آیفون شده است. جهت دریافت جایزه با شماره 02190010790 تماس حاصل فرمایید. مهلت پیگیری تا پایان هفته است.,spam
سلام، جلسه‌ی دفاع پایان‌نامه‌ی امیر نوری در دانشگاه خوارزمی برای سه‌شنبه ساعت ۸ شب تایید شد. لینک اتاق مجازی برای اعضای غایب: shop-example.ir/vc/room-87356 موفق باشید.,ham
سلام آقای/خانم رحیمی، بلیط پرواز مشهد به مشهد صادر شد. فایل بلیط از لینک زیر قابل دانلود است: university.ac.ir/eticket/72121 پرواز سه‌شنبه ساعت ۲ بعدازظهر، لطفاً دو ساعت زودتر فرودگاه باشید.,ham
حساب کاربری بانکی شما به‌دلیل ورود مشکوک موقتاً مسدود شده است. برای رفع مسدودی و تایید هویت با پشتیبانی امنیتی به شماره 0995089126 تماس بگیرید و کد پشت کارت را اعلام کنید.,spam
استخدام فوری، درآمد روزانه تضمینی 500 هزار تومان، بدون نیاز به مدرک و سابقه کار. جهت هماهنگی مصاحبه با شماره 0998558197 تماس بگیرید.,spam
سلام آقای/خانم نوری، بلیط پرواز مشهد به اهواز صادر شد. فایل بلیط از لینک زیر قابل دانلود است: hr-example.com/eticket/64654 پرواز یکشنبه ساعت ۱۱ صبح، لطفاً دو ساعت زودتر فرودگاه باشید.,ham
حساب کاربری بانکی شما به‌دلیل ورود مشکوک موقتاً مسدود شده است. برای رفع مسدودی و تایید هویت با پشتیبانی امنیتی به شماره 0913361510 تماس بگیرید و کد پشت کارت را اعلام کنید.,spam
سلام، دعوت‌نامه‌ی وبینار «مدیریت زمان» برای پنجشنبه هفته‌ی آینده ارسال شد. ثبت‌نام رایگان از لینک زیر: hr-example.com/register/73309 این جلسه ضبط هم می‌شود.,ham
مشتری گرامی، فاکتور خرید شما به مبلغ 50000 هزار تومان از فروشگاه اینترنتی کالای من صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: shop-example.ir/invoices/72511 با تشکر از خرید شما.,ham
مشترک گرامی، شماره‌ی 130 خبرنامه‌ی کتاب و ادبیات منتشر شد. برای مطالعه‌ی کامل: university.ac.ir/issue-27772 لغو اشتراک هر زمان از پایین همین ایمیل امکان‌پذیر است.,ham
حساب کاربری بانکی شما به‌دلیل ورود مشکوک موقتاً مسدود شده است. برای رفع مسدودی و تایید هویت با پشتیبانی امنیتی به شماره 0916503032 تماس بگیرید و کد پشت کارت را اعلام کنید.,spam
دعوت به همکاری در فروش طلا و جواهر با سود بالا و بدون سرمایه، فقط ثبت‌نام تلفنی. جهت هماهنگی با شماره 0991289293 تماس بگیرید.,spam
حساب کاربری بانکی شما به‌دلیل ورود مشکوک موقتاً مسدود شده است. برای رفع مسدودی و تایید هویت با پشتیبانی امنیتی به شماره 02191917334 تماس بگیرید و کد پشت کارت را اعلام کنید.,spam
سلام دوستان، لینک ورود به کلاس آنلاین دوشنبه ساعت ۹ صبح از طریق گوگل‌میت اینجاست: meet.google.com/abc-defg-hij لطفاً چند دقیقه زودتر وصل شوید. با احترام، استاد صادقی,ham
مشتری گرامی، فاکتور خرید شما به مبلغ 1500 هزار تومان از بانک ملت صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: university.ac.ir/invoices/45020 با تشکر از خرید شما.,ham
سلام محمد جان، جدول بودجه رو توی درایو گذاشتم: drive.google.com/file/d/363319 اگه سوالی داشتی بگو باهم نگاه بندازیم.,ham
سلام الناز جان، جدول بودجه رو توی درایو گذاشتم: drive.google.com/file/d/355836 اگه سوالی داشتی بگو باهم نگاه بندازیم.,ham
سلام، طبق درخواستتان رمز عبور حساب کاربری‌تان در آژانس هواپیمایی پرشین‌تور بازنشانی شد. برای تنظیم رمز جدید: docs-example.com/reset-password/61901 این لینک تا ۲۴ ساعت آینده معتبر است.,ham
باسلام، رزرو میز شما در چایخانه سنتی برای دوشنبه ساعت ۱۰ صبح با موفقیت ثبت شد. جزئیات و امکان لغو از این لینک: docs-example.com/booking/72200 منتظر حضورتان هستیم.,ham
باسلام، رزرو میز شما در رستوران ایتالیایی رزتو برای یکشنبه ساعت ۶ عصر با موفقیت ثبت شد. جزئیات و امکان لغو از این لینک: webinar-example.com/booking/90593 منتظر حضورتان هستیم.,ham
مشتری گرامی، فاکتور خرید شما به مبلغ 2000 هزار تومان از فروشگاه لوازم خانگی دیجی‌کالا صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: docs-example.com/invoices/83397 با تشکر از خرید شما.,ham
فرصت عضویت در تیم معامله‌گری ارز دیجیتال با سود روزانه تضمینی. جهت دریافت اطلاعات بیشتر همین حالا با شماره 02173070585 تماس بگیرید، ظرفیت محدود است.,spam
سلام آقای/خانم نوری، بلیط پرواز مشهد به کیش صادر شد. فایل بلیط از لینک زیر قابل دانلود است: webinar-example.com/eticket/44279 پرواز سه‌شنبه ساعت ۹ صبح، لطفاً دو ساعت زودتر فرودگاه باشید.,ham
سلام، دعوت‌نامه‌ی وبینار «سرمایه‌گذاری اولیه» برای دوشنبه هفته‌ی آینده ارسال شد. ثبت‌نام رایگان از لینک زیر: docs-example.com/register/10508 این جلسه ضبط هم می‌شود.,ham
تبریک، شماره تلفن شما در قرعه‌کشی بزرگ برنده یک دستگاه خودرو پراید شده است. جهت دریافت جایزه با شماره 02142117961 تماس حاصل فرمایید. مهلت پیگیری تا پایان هفته است.,spam
با احترام، مرسوله‌ی پستی شما به مقصد رسیده و آماده‌ی تحویل است. وضعیت و کد رهگیری: docs-example.com/track/80507,ham
سلام، جلسه‌ی دفاع پایان‌نامه‌ی مریم جعفری در دانشگاه امیرکبیر برای پنجشنبه ساعت ۱۰ صبح تایید شد. لینک اتاق مجازی برای اعضای غایب: webinar-example.com/vc/room-33087 موفق باشید.,ham
دعوت به همکاری در فروش طلا و جواهر با سود بالا و بدون سرمایه، فقط ثبت‌نام تلفنی. جهت هماهنگی با شماره 0911205779 تماس بگیرید.,spam
مشتری گرامی، فاکتور خرید شما به مبلغ 3000 هزار تومان از موسسه آموزشی مهرگان صادر شد. برای مشاهده و دانلود فاکتور رسمی به لینک زیر مراجعه کنید: webinar-example.com/invoices/61258 با تشکر از خرید شما.,ham
دعوت به همکاری در فروش لوازم خانگی با سود بالا و بدون سرمایه، فقط ثبت‌نام تلفنی. جهت هماهنگی با شماره 0911661401 تماس بگیرید.,spam
سلام، جلسه‌ی دفاع پایان‌نامه‌ی کیانا محمدی در دانشگاه شریف برای دوشنبه ساعت ۲ بعدازظهر تایید شد. لینک اتاق مجازی برای اعضای غایب: webinar-example.com/vc/room-85607 موفق باشید.,ham
تبریک، شماره تلفن شما در قرعه‌کشی بزرگ برنده پنج میلیون تومان وجه نقد شده است. جهت دریافت جایزه با شماره 0995896624 تماس حاصل فرمایید. مهلت پیگیری تا پایان هفته است.,spam
سلام دوستان، لینک ورود به کلاس آنلاین چهارشنبه ساعت ۹ صبح از طریق گوگل‌میت اینجاست: meet.google.com/abc-defg-hij لطفاً چند دقیقه زودتر وصل شوید. با احترام، استاد جعفری,ham
سلام حسین جان، صورت‌جلسه رو توی درایو گذاشتم: drive.google.com/file/d/665579 اگه سوالی داشتی بگو باهم نگاه بندازیم.,ham
تبریک، شماره تلفن شما در قرعه‌کشی بزرگ برنده یک گوشی آیفون شده است. جهت دریافت جایزه با شماره 0992242892 تماس حاصل فرمایید. مهلت پیگیری تا پایان هفته است.,spam
دعوت به همکاری در فروش طلا و جواهر با سود بالا و بدون سرمایه، فقط ثبت‌نام تلفنی. جهت هماهنگی با شماره 0908664433 تماس بگیرید.,spam
فرصت عضویت در تیم معامله‌گری ارز دیجیتال با سود روزانه تضمینی. جهت دریافت اطلاعات بیشتر همین حالا با شماره 0936213522 تماس بگیرید، ظرفیت محدود است.,spam
سلام شیرین جان، فایل ارائه رو توی درایو گذاشتم: drive.google.com/file/d/904150 اگه سوالی داشتی بگو باهم نگاه بندازیم.,ham
سلام کیانا جان، صورت‌جلسه رو توی درایو گذاشتم: drive.google.com/file/d/961722 اگه سوالی داشتی بگو باهم نگاه بندازیم.,ham
حساب کاربری بانکی شما به‌دلیل ورود مشکوک موقتاً مسدود شده است. برای رفع مسدودی و تایید هویت با پشتیبانی امنیتی به شماره 0904093109 تماس بگیرید و کد پشت کارت را اعلام کنید.,spam
باسلام، رزرو میز شما در رستوران ایتالیایی رزتو برای شنبه ساعت ۹ صبح با موفقیت ثبت شد. جزئیات و امکان لغو از این لینک: shop-example.ir/booking/77099 منتظر حضورتان هستیم.,ham
سلام فرزاد جان، جلسه‌ی شنبه ساعت ۲ بعدازظهر تایید شد. لینک اتاق مجازی: post-example.com/room-74975 اگر امکان حضور نداشتی از قبل بگو.,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0918805654 تماس بگیرید، ظرفیت محدود است.,spam
سلام رضا جان، جلسه‌ی دوشنبه ساعت ۸ شب تایید شد. لینک اتاق مجازی: docs-example.com/room-6229 اگر امکان حضور نداشتی از قبل بگو.,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0907668663 تماس بگیرید، ظرفیت محدود است.,spam
تبریک، شماره تلفن شما در قرعه‌کشی بزرگ برنده یک گوشی آیفون شده است. جهت دریافت جایزه با شماره 0919823994 تماس حاصل فرمایید. مهلت پیگیری تا پایان هفته است.,spam
با سلام، پیرو ثبت‌نام شما در دانشگاه امیرکبیر، لینک دسترسی به پنل کاربری فعال شد: hr-example.com/dashboard/7582 در صورت بروز مشکل با پشتیبانی تماس بگیرید.,ham
سلام آقای/خانم کریمی، بلیط پرواز اصفهان به مشهد صادر شد. فایل بلیط از لینک زیر قابل دانلود است: docs-example.com/eticket/65251 پرواز جمعه ساعت ۲ بعدازظهر، لطفاً دو ساعت زودتر فرودگاه باشید.,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0992948178 تماس بگیرید، ظرفیت محدود است.,spam
تبریک، شماره تلفن شما در قرعه‌کشی بزرگ برنده پنج میلیون تومان وجه نقد شده است. جهت دریافت جایزه با شماره 0904318855 تماس حاصل فرمایید. مهلت پیگیری تا پایان هفته است.,spam
برادر شما در یک شرایط اضطراری قرار گرفته و نیاز فوری به وجه نقد دارد. جهت اطلاعات بیشتر و کمک فوری با شماره 0912532210 تماس بگیرید.,spam
سلام دوستان، لینک ورود به کلاس آنلاین شنبه ساعت ۲ بعدازظهر از طریق گوگل‌میت اینجاست: meet.google.com/klm-nopq-rst لطفاً چند دقیقه زودتر وصل شوید. با احترام، استاد صادقی,ham
طبق بررسی سیستم مالیاتی، پرونده شما دارای بدهی معوق به مبلغ 1500 هزار تومان است. جهت جلوگیری از مسدود شدن حساب بانکی همین امروز با شماره 0995638893 تماس بگیرید.,spam
فرزند شما در یک شرایط اضطراری قرار گرفته و نیاز فوری به وجه نقد دارد. جهت اطلاعات بیشتر و کمک فوری با شماره 0933503120 تماس بگیرید.,spam
اطلاعیه فوری، بسته پستی شما به‌دلیل عدم پرداخت عوارض گمرکی در انبار متوقف شده است. جهت آزادسازی مرسوله همین امروز با شماره 0996549757 تماس بگیرید.,spam
سلام نگار جان، جلسه‌ی سه‌شنبه ساعت ۶ عصر تایید شد. لینک اتاق مجازی: example.com/room-74920 اگر امکان حضور نداشتی از قبل بگو.,ham
تبریک، شماره تلفن شما در قرعه‌کشی بزرگ برنده یک دستگاه خودرو پراید شده است. جهت دریافت جایزه با شماره 0993791137 تماس حاصل فرمایید. مهلت پیگیری تا پایان هفته است.,spam
سلام آقای/خانم نوری، بلیط پرواز مشهد به کیش صادر شد. فایل بلیط از لینک زیر قابل دانلود است: webinar-example.com/eticket/49944 پرواز سه‌شنبه ساعت ۶ عصر، لطفاً دو ساعت زودتر فرودگاه باشید.,ham
باسلام، رزرو میز شما در کافه نادری برای چهارشنبه ساعت ۹ صبح با موفقیت ثبت شد. جزئیات و امکان لغو از این لینک: shop-example.ir/booking/31311 منتظر حضورتان هستیم.,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0914883526 تماس بگیرید، ظرفیت محدود است.,spam
طبق بررسی سیستم مالیاتی، پرونده شما دارای بدهی معوق به مبلغ 20000 هزار تومان است. جهت جلوگیری از مسدود شدن حساب بانکی همین امروز با شماره 0997136687 تماس بگیرید.,spam
سلام مریم جان، گزارش نهایی رو توی درایو گذاشتم: drive.google.com/file/d/890870 اگه سوالی داشتی بگو باهم نگاه بندازیم.,ham
سلام دوستان، لینک ورود به کلاس آنلاین سه‌شنبه ساعت ۴ بعدازظهر از طریق گوگل‌میت اینجاست: meet.google.com/abc-defg-hij لطفاً چند دقیقه زودتر وصل شوید. با احترام، استاد محمدی,ham
اطلاعیه فوری، بسته پستی شما به‌دلیل عدم پرداخت عوارض گمرکی در انبار متوقف شده است. جهت آزادسازی مرسوله همین امروز با شماره 0995545223 تماس بگیرید.,spam
با احترام، مرسوله‌ی پستی شما به مقصد رسیده و آماده‌ی تحویل است. وضعیت و کد رهگیری: shop-example.ir/track/16906,ham
فرصت سرمایه‌گذاری استثنایی، سرمایه خود را در عرض یک ماه دو برابر کنید بدون هیچ ریسکی. جهت مشاوره رایگان با شماره 0907970985 تماس بگیرید، ظرفیت محدود است.,spam
